"version"	"AUSSDA archive version"
"doi"	"doi"
"NR_2016"	"Fallnummer"
"ISSP_Version"	"Welche ISSP Version kam zum Einsatz?"
"Gewicht_DES"	"Design Weight - Bundesland, Haushaltsgrösse"
"Gewicht_POS"	"Post Weight - Alter, Geschlecht, Bildung"
"Gewicht_GES"	"Gesamtgewicht: Design + Post Weight"
"AGE_2016"	"Alter"
"SEX_2016"	"Geschlecht"
"BLD_2016"	"Bundesland"
"af1"	"Sind Sie derzeit in erster Linie ...?"
"af2"	"Welche Schule besuchen Sie?"
"af3"	"Welchen höchsten Schulabschluss haben Sie?"
"af4"	"Wie viele Einwohner und Einwohnerinnen hat der Ort, in dem Sie derzeit wohnen?"
"af5"	"Wie lange leben Sie bereits in diesem Ort?"
"af8"	"Welchen höchsten Schulabschluss hat (hatte) Ihr Vater?"
"af12"	"Welchen höchsten Schulabschluss hat (hatte) Ihre Mutter?"
"bf14"	"Waren Sie irgendwann schon einmal berufstätig?"
"bf15"	"Wo sind Sie derzeit beschäftigt bzw. wo waren Sie zuletzt beschäftigt?"
"bf16"	"Haben Sie Ihr bisheriges Berufsleben bzw. Ihre Erwerbstätigkeit schon einmal längere Zeit unterbrechen müssen, z.B. wegen Erziehung von Kindern, Betreuung von kranken und behinderten Angehörigen?"
"bf17"	"Wie viele Jahre haben Sie insgesamt Ihre Erwerbstätigkeit unterbrochen?"
"bf18"	"Waren Sie schon einmal von Arbeitslosigkeit betroffen?"
"bf19"	"Wie lange waren (bzw. sind) Sie insgesamt arbeitslos?"
"bf20"	"Einstufen laut Frage 14 (Tätigkeit):"
"bf22"	"In welchem Betriebszweig bzw. in welcher Branche arbeiten (arbeiteten) Sie? (Eintragen)"
"bf23"	"Wie viele Personen sind (waren) in Ihrem Betrieb bzw. der Arbeitsstätte beschäftigt, in der Sie arbeiten"
"bf24"	"Sind (waren) Ihnen bei Ihrer derzeitigen beruflichen Arbeit Personen unmittelbar unterstellt?"
"bf25"	"Wie viele Stunden arbeiten (arbeiteten) Sie normalerweise in Ihrem Hauptberuf pro Woche einschließlich Überstunden?"
"bf26"	"Üben Sie derzeit (übten Sie) neben Ihrem Hauptberuf weitere berufliche Tätigkeiten aus?"
"bf27"	"Ist Ihr derzeitiges Arbeitsverhältnis befristet oder unbefristet? (War Ihr letztes…)"
"bf28"	"Entfallen"
"bf29_1"	"Wie wichtig für berufliche Arbeit? Eine sichere Berufsstellung"
"bf29_2"	"Wie wichtig für berufliche Arbeit? Ein hohes Einkommen"
"bf29_3"	"Wie wichtig für berufliche Arbeit? Gute Aufstiegsmöglichkeiten"
"bf29_4"	"Wie wichtig für berufliche Arbeit? Eine interessante Tätigkeit"
"bf29_5"	"Wie wichtig für berufliche Arbeit? Eine Tätigkeit, bei der man selbständig arbeiten kann"
"bf29_6"	"Wie wichtig für berufliche Arbeit? Ein Beruf, bei dem man anderen helfen kann"
"bf29_7"	"Wie wichtig für berufliche Arbeit? Ein Beruf, der für die Gesellschaft nützlich ist"
"bf29_8"	"Wie wichtig für berufliche Arbeit? Eine Stelle, bei der man die Arbeitszeiten oder Arbeitstage selbst festlegen kann"
"bf29_9"	"Wie wichtig für berufliche Arbeit? Eine Arbeit, bei der man persönlichen Kontakt zu anderen Menschen hat"
"bf31"	"Wenn Sie an Ihre erste berufliche Tätigkeit denken: In welchem Jahr waren Sie zum ersten Mal hauptberuflich erwerbstätig?"
"bf32_1"	"Zustimmung Aussage: Ein Beruf ist nur ein Mittel, um Geld zu verdienen - mehr nicht"
"bf32_2"	"Zustimmung Aussage: Ich würde auch dann gerne berufstätig sein, wenn ich das Geld nicht brauche"
"bf33"	"Wonach sollte sich die Höhe des Einkommens in erster Linie richten?"
"bf34"	"Würden Sie sich wünschen, heute berufstätig zu sein?"
"cf35"	"Sind Sie österreichischer Staatsbürger/ österreichische Staatsbürgerin?"
"cf36"	"Wo sind Sie geboren?"
"cf38"	"Nun kurz einige Fragen zu Ihrer Lebenssituation: Welchen Familienstand haben Sie?"
"cf40"	"Ist bzw. War dies Ihre erste Ehe (bzw. eingetragene Partnerschaft) oder eine weitere Ehe (bzw. eingetragene Partnerschaft)?"
"cf42"	"Welchen höchsten Schulabschluss hat Ihr derzeitiger Partner/ Ihre Partnerin?"
"cf43"	"Ist Ihr Partner/ Ihre Partnerin derzeit ...?"
"cf45"	"Wie viele Stunden pro Woche arbeitet er/ sie normalerweise in seinem/ ihrem Hauptberuf, einschließlich Überstunden?"
"cf46"	"Erledigen Sie in Ihrem Haushalt….?"
"cf47a"	"Haben Sie ein Kind unter 17 Jahren im Haushalt?"
"cf48"	"Erledigen Sie bei der Kinderbetreuung….?"
"cf49"	"Haben Sie ein oder mehrere leibliche Kinder, die nicht mit Ihnen zusammenleben?"
"cf50"	"Wie häufig sehen Sie diese?"
"cf51"	"Was betrachten Sie als die ideale Kinderzahl einer Familie? (ANZAHL DER KINDER EINTRAGEN)"
"cf52"	"Glauben Sie, dass man eine Familie braucht, um wirklich glücklich zu sein – oder glauben Sie, man kann alleine genauso glücklich leben?"
"cf53"	"Wenn Sie an Ihr Familienleben denken, sind Sie damit alles in allem ...?"
"cf54"	"Wie zufrieden sind Sie mit Ihrer Partnerschaft?"
"cf55"	"Sind Sie insgesamt betrachtet mit Ihrem Leben sehr zufrieden, eher zufrieden, eher weniger zufrieden oder nicht unzufrieden?"
"cf56"	"Glauben Sie, dass man ohne Kinder ein gleich glückliches Leben wie mit Kindern führen kann?"
"cf57_1"	"Stimmt diese Meinung oder nicht? Sexuelle Treue ist eine wichtige Basis für die Ehe."
"cf57_2"	"Stimmt diese Meinung oder nicht? Es ist in Ordnung, dass ein Paar zusammenlebt, ohne die Absicht zu heiraten."
"cf57_3"	"Stimmt diese Meinung oder nicht? Die gesellschaftliche Entwicklung geht dahin, dass sich die Ehe auflöst."
"cf57_4"	"Stimmt diese Meinung oder nicht? Das Austragen eines Kindes durch eine andere Frau (Leihmutter) sollte verboten sein."
"cf57_5"	"Stimmt diese Meinung oder nicht? Sexuelle Beziehungen zwischen Erwachsenen gleichen Geschlechts sind ebenso in Ordnung wie jene zwischen heterosexuellen Partnern."
"cf58_1"	"Zustimmung Aussage: Kinder sind wichtig für ein glückliches Leben."
"cf58_2"	"Zustimmung Aussage: Zu beobachten wie Kinder groß werden, ist die größte Freude im Leben."
"cf58_3"	"Zustimmung Aussage: Kinder schränken die persönliche Freiheit ein."
"cf58_4"	"Zustimmung Aussage: Menschen, die nie Kinder gehabt haben, führen ein leeres Leben"
"cf58_5"	"Zustimmung Aussage: Mit Kindern ist es schwierig, berufliche Ziele zu erreichen"
"cf58_6"	"Zustimmung Aussage: Eine berufstätige Mutter kann ein genauso herzliches Verhältnis zu ihren Kinder finden wie eine Mutter, die nicht berufstätig ist"
