variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"ID"	"Variable Label"	"ID"
"StartDate"	"Variable Label"	"Start Date"
"EndDate"	"Variable Label"	"End Date"
"Status"	"Variable Label"	"Response Type"
"Status"	"0"	"IP Address"
"Status"	"1"	"Survey Preview"
"Status"	"2"	"Survey Test"
"Status"	"4"	"Imported"
"Status"	"8"	"Spam"
"Status"	"9"	"Survey Preview Spam"
"Status"	"12"	"Imported Spam"
"Status"	"16"	"Offline"
"Status"	"17"	"Offline Survey Preview"
"Status"	"32"	"EX"
"Status"	"40"	"EX Spam"
"Status"	"48"	"EX Offline"
"Progress"	"Variable Label"	"Progress"
"Duration__in_seconds_"	"Variable Label"	"Duration (in seconds)"
"Finished"	"Variable Label"	"Finished"
"Finished"	"0"	"False"
"Finished"	"1"	"True"
"RecordedDate"	"Variable Label"	"Recorded Date"
"RecipientLastName"	"Variable Label"	"Recipient Last Name"
"RecipientFirstName"	"Variable Label"	"Recipient First Name"
"RecipientEmail"	"Variable Label"	"Recipient Email"
"ExternalReference"	"Variable Label"	"External Data Reference"
"DistributionChannel"	"Variable Label"	"Distribution Channel"
"UserLanguage"	"Variable Label"	"User Language"
"Q1"	"Variable Label"	"PURPOSE: You are being asked to participate in a research study conducted by Professor Miriam Metzger at the University of California, Santa Barbara and Professor Tobias Dienlin at the University of Vienna, Austria. Participation is voluntary."
"Q1"	"1"	"I want to take part in the study"
"Q1"	"2"	"I DON'T want to take part in the study"
"HEX_HOH_SIN_01"	"Variable Label"	"If I want something from a person I dislike, I will act very nicely toward that person in order to get it."
"HEX_HOH_SIN_01"	"1"	"-3"
"HEX_HOH_SIN_01"	"2"	"-2"
"HEX_HOH_SIN_01"	"3"	"-1"
"HEX_HOH_SIN_01"	"4"	"0"
"HEX_HOH_SIN_01"	"5"	"+1"
"HEX_HOH_SIN_01"	"6"	"+2"
"HEX_HOH_SIN_01"	"7"	"+3"
"HEX_HOH_SIN_02"	"Variable Label"	"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed."
"HEX_HOH_SIN_02"	"1"	"-3"
"HEX_HOH_SIN_02"	"2"	"-2"
"HEX_HOH_SIN_02"	"3"	"-1"
"HEX_HOH_SIN_02"	"4"	"0"
"HEX_HOH_SIN_02"	"5"	"+1"
"HEX_HOH_SIN_02"	"6"	"+2"
"HEX_HOH_SIN_02"	"7"	"+3"
"HEX_HOH_SIN_03"	"Variable Label"	"If I want something from someone, I will laugh at that person's worst jokes."
"HEX_HOH_SIN_03"	"1"	"-3"
"HEX_HOH_SIN_03"	"2"	"-2"
"HEX_HOH_SIN_03"	"3"	"-1"
"HEX_HOH_SIN_03"	"4"	"0"
"HEX_HOH_SIN_03"	"5"	"+1"
"HEX_HOH_SIN_03"	"6"	"+2"
"HEX_HOH_SIN_03"	"7"	"+3"
"HEX_HOH_SIN_04"	"Variable Label"	"I wouldn't pretend to like someone just to get that person to do favors for me."
"HEX_HOH_SIN_04"	"1"	"-3"
"HEX_HOH_SIN_04"	"2"	"-2"
"HEX_HOH_SIN_04"	"3"	"-1"
"HEX_HOH_SIN_04"	"4"	"0"
"HEX_HOH_SIN_04"	"5"	"+1"
"HEX_HOH_SIN_04"	"6"	"+2"
"HEX_HOH_SIN_04"	"7"	"+3"
"HEX_HOH_FAI_01"	"Variable Label"	"If I knew that I could never get caught, I would be willing to steal a million dollars."
"HEX_HOH_FAI_01"	"1"	"-3"
"HEX_HOH_FAI_01"	"2"	"-2"
"HEX_HOH_FAI_01"	"3"	"-1"
"HEX_HOH_FAI_01"	"4"	"0"
"HEX_HOH_FAI_01"	"5"	"+1"
"HEX_HOH_FAI_01"	"6"	"+2"
"HEX_HOH_FAI_01"	"7"	"+3"
"HEX_HOH_FAI_02"	"Variable Label"	"I would be tempted to buy stolen property if I were financially tight."
"HEX_HOH_FAI_02"	"1"	"-3"
"HEX_HOH_FAI_02"	"2"	"-2"
"HEX_HOH_FAI_02"	"3"	"-1"
"HEX_HOH_FAI_02"	"4"	"0"
"HEX_HOH_FAI_02"	"5"	"+1"
"HEX_HOH_FAI_02"	"6"	"+2"
"HEX_HOH_FAI_02"	"7"	"+3"
"HEX_HOH_FAI_03"	"Variable Label"	"I would never accept a bribe, even if it were very large."
"HEX_HOH_FAI_03"	"1"	"-3"
"HEX_HOH_FAI_03"	"2"	"-2"
"HEX_HOH_FAI_03"	"3"	"-1"
"HEX_HOH_FAI_03"	"4"	"0"
"HEX_HOH_FAI_03"	"5"	"+1"
"HEX_HOH_FAI_03"	"6"	"+2"
"HEX_HOH_FAI_03"	"7"	"+3"
"HEX_HOH_FAI_04"	"Variable Label"	"I’d be tempted to use counterfeit money if I were sure I could get away with it."
"HEX_HOH_FAI_04"	"1"	"-3"
"HEX_HOH_FAI_04"	"2"	"-2"
"HEX_HOH_FAI_04"	"3"	"-1"
"HEX_HOH_FAI_04"	"4"	"0"
"HEX_HOH_FAI_04"	"5"	"+1"
"HEX_HOH_FAI_04"	"6"	"+2"
"HEX_HOH_FAI_04"	"7"	"+3"
"HEX_HOH_GRE_01"	"Variable Label"	"Having a lot of money is not especially important to me."
"HEX_HOH_GRE_01"	"1"	"-3"
"HEX_HOH_GRE_01"	"2"	"-2"
"HEX_HOH_GRE_01"	"3"	"-1"
"HEX_HOH_GRE_01"	"4"	"0"
"HEX_HOH_GRE_01"	"5"	"+1"
"HEX_HOH_GRE_01"	"6"	"+2"
"HEX_HOH_GRE_01"	"7"	"+3"
"HEX_HOH_GRE_02"	"Variable Label"	"I would like to live in a very expensive, high-class neighborhood."
"HEX_HOH_GRE_02"	"1"	"-3"
"HEX_HOH_GRE_02"	"2"	"-2"
"HEX_HOH_GRE_02"	"3"	"-1"
"HEX_HOH_GRE_02"	"4"	"0"
"HEX_HOH_GRE_02"	"5"	"+1"
"HEX_HOH_GRE_02"	"6"	"+2"
"HEX_HOH_GRE_02"	"7"	"+3"
"HEX_HOH_GRE_03"	"Variable Label"	"I would like to be seen driving around in a very expensive car."
"HEX_HOH_GRE_03"	"1"	"-3"
"HEX_HOH_GRE_03"	"2"	"-2"
"HEX_HOH_GRE_03"	"3"	"-1"
"HEX_HOH_GRE_03"	"4"	"0"
"HEX_HOH_GRE_03"	"5"	"+1"
"HEX_HOH_GRE_03"	"6"	"+2"
"HEX_HOH_GRE_03"	"7"	"+3"
"HEX_HOH_GRE_04"	"Variable Label"	"I would get a lot of pleasure from owning expensive luxury goods."
"HEX_HOH_GRE_04"	"1"	"-3"
"HEX_HOH_GRE_04"	"2"	"-2"
"HEX_HOH_GRE_04"	"3"	"-1"
"HEX_HOH_GRE_04"	"4"	"0"
"HEX_HOH_GRE_04"	"5"	"+1"
"HEX_HOH_GRE_04"	"6"	"+2"
"HEX_HOH_GRE_04"	"7"	"+3"
"HEX_HOH_MOD_01"	"Variable Label"	"I am an ordinary person who is no better than others."
"HEX_HOH_MOD_01"	"1"	"-3"
"HEX_HOH_MOD_01"	"2"	"-2"
"HEX_HOH_MOD_01"	"3"	"-1"
"HEX_HOH_MOD_01"	"4"	"0"
"HEX_HOH_MOD_01"	"5"	"+1"
"HEX_HOH_MOD_01"	"6"	"+2"
"HEX_HOH_MOD_01"	"7"	"+3"
"HEX_HOH_MOD_02"	"Variable Label"	"I wouldn’t want people to treat me as though I were superior to them."
"HEX_HOH_MOD_02"	"1"	"-3"
"HEX_HOH_MOD_02"	"2"	"-2"
"HEX_HOH_MOD_02"	"3"	"-1"
"HEX_HOH_MOD_02"	"4"	"0"
"HEX_HOH_MOD_02"	"5"	"+1"
"HEX_HOH_MOD_02"	"6"	"+2"
"HEX_HOH_MOD_02"	"7"	"+3"
"HEX_HOH_MOD_03"	"Variable Label"	"I think that I am entitled to more respect than the average person is."
"HEX_HOH_MOD_03"	"1"	"-3"
"HEX_HOH_MOD_03"	"2"	"-2"
"HEX_HOH_MOD_03"	"3"	"-1"
"HEX_HOH_MOD_03"	"4"	"0"
"HEX_HOH_MOD_03"	"5"	"+1"
"HEX_HOH_MOD_03"	"6"	"+2"
"HEX_HOH_MOD_03"	"7"	"+3"
"HEX_HOH_MOD_04"	"Variable Label"	"I want people to know that I am an important person of high status."
"HEX_HOH_MOD_04"	"1"	"-3"
