variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Soll Österreich Mitglied der Europäischen Union bleiben oder wieder austreten?"
"v1"	"1"	"in der EU bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Was halten Sie davon, wenn Ungarn, Tschechien, die Slowakei und Slowenien mit Österreich eine \"Mitteleuropäische Partnerschaft\" bilden?"
"v10"	"1"	"sehr dafür"
"v10"	"2"	"eher dafür"
"v10"	"3"	"eher dagegen"
"v10"	"4"	"sehr dagegen"
"v10"	"5"	"ist mir egal"
"v10"	"6"	"W.N./K.A."
"v11"	"Variable Label"	"Würde eine solche \"Mitteleuropäische Partnerschaft\" in der Europäischen Union mehr durchsetzen können als jeder dieser mitteleuropäischen Staaten auf sich alleine gestellt?"
"v11"	"1"	"Ja"
"v11"	"2"	"Nein"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Was meinen Sie? Ist die Zusammenarbeit von Regionen aus Nachbarländern (wie zB \"CENTROPE\") ein gutes Vorhaben?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Halten Sie es für gut, dass die Europäische Union die OMV gegenüber den USA unterstützt oder nicht?"
"v13"	"1"	"Ja"
"v13"	"2"	"Nein"
"v13"	"3"	"W.N./K.A."
"v14a"	"Variable Label"	"Solcher Streit ist normal für eine lebendige Demokratie"
"v14a"	"Variable Label"	"stimme nicht zu"
"v14a"	"1"	"stimme zu"
"v14b"	"Variable Label"	"Es wird nicht mehr oder weniger gestritten als früher"
"v14b"	"Variable Label"	"stimme nicht zu"
"v14b"	"1"	"stimme zu"
"v14c"	"Variable Label"	"Der Streit dreht sich um Themen, die mir egal sind"
"v14c"	"Variable Label"	"stimme nicht zu"
"v14c"	"1"	"stimme zu"
"v14d"	"Variable Label"	"Der Streit wird von den Journalisten vergrößert und dramatisiert"
"v14d"	"Variable Label"	"stimme nicht zu"
"v14d"	"1"	"stimme zu"
"v14e"	"Variable Label"	"Der Streit wird zu baldigen Neuwahlen führen, da SPÖ und ÖVP nicht miteinander können"
"v14e"	"Variable Label"	"stimme nicht zu"
"v14e"	"1"	"stimme zu"
"v15a"	"Variable Label"	"Den Piloten des Flugzeugs per Funk warnen"
"v15a"	"Variable Label"	"stimme nicht zu"
"v15a"	"1"	"stimme zu"
"v15b"	"Variable Label"	"Das Flugzeug abschießen"
"v15b"	"Variable Label"	"stimme nicht zu"
"v15b"	"1"	"stimme zu"
"v15c"	"Variable Label"	"Das Flugzeug fotografieren"
"v15c"	"Variable Label"	"stimme nicht zu"
"v15c"	"1"	"stimme zu"
"v16"	"Variable Label"	"Geschlecht"
"v16"	"1"	"männlich"
"v16"	"2"	"weiblich"
"v17"	"Variable Label"	"Alter"
"v17"	"1"	"bis 25 Jahre"
